,origin_country,origin_consulate,country,city,latitude,longitude
0,ALBANIA,TIRANA,ALBANIA,TIRANA,41.3279485,19.8185512
1,ALGERIA,ALGIERS,ALGERIA,ALGIERS,36.7753606,3.0601882
2,ARGENTINA,BUENOS AIRES,ARGENTINA,BUENOS AIRES,-34.6075682,-58.4370894
3,AUSTRALIA,CANBERRA,AUSTRALIA,CANBERRA,-35.2975906,149.1012676
4,AZERBAIJAN,BAKU,AZERBAIJAN,BAKU,40.16399915,50.27770925520258
5,BOSNIA AND HERZEGOVINA,SARAJEVO,BOSNIA AND HERZEGOVINA,SARAJEVO,43.8519774,18.3866868
6,BRAZIL,BRASILIA,BRAZIL,BRASILIA,-10.3333333,-53.2
7,BULGARIA,SOFIA,BULGARIA,SOFIA,42.6978634,23.3221789
8,CANADA,OTTAWA,CANADA,OTTAWA,45.4211435,-75.6900574
9,CHILE,SANTIAGO DE CHILE,CHILE,SANTIAGO DE CHILE,-33.4377756,-70.6504502
10,CHINA,BEIJING,CHINA,BEIJING,39.906217,116.3912757
11,CHINA,SHANGHAI,CHINA,SHANGHAI,31.2322758,121.4692071
12,COLOMBIA,BOGOTA,COLOMBIA,BOGOTA,4.6533326,-74.083652
13,CROATIA,ZAGREB,CROATIA,ZAGREB,45.8419418,15.962136346166936
14,CUBA,HAVANA,CUBA,HAVANA,23.135305,-82.3589631
15,CYPRUS,NICOSIA,CYPRUS,NICOSIA,35.1739302,33.364726
16,EGYPT,CAIRO,EGYPT,CAIRO,30.0443879,31.2357257
17,ETHIOPIA,ADDIS ABEBA,ETHIOPIA,ADDIS ABEBA,9.0107934,38.7612525
18,GERMANY,MUNICH,GERMANY,MUNICH,48.1371079,11.5753822
19,HONG KONG S.A.R.,HONG KONG,HONG KONG,HONG KONG,22.2793278,114.1628131
20,INDIA,NEW DELHI,INDIA,NEW DELHI,28.6138954,77.2090057
21,INDONESIA,JAKARTA,INDONESIA,JAKARTA,-6.1753942,106.827183
22,IRAN,TEHERAN,IRAN,TEHERAN,35.6892523,51.3896004
23,IRELAND,DUBLIN,IRELAND,DUBLIN,53.3497645,-6.2602732
24,ISRAEL,TEL AVIV,ISRAEL,TEL AVIV,32.0852997,34.7818064
25,JAPAN,TOKYO,JAPAN,TOKYO,35.6828387,139.7594549
